School Name,City,State,District Name,2010/11/Award Amount,Model Selected,Location
NORTH HIGH SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,"$924,081.00 ",Transformation,"2960 NORTH SPEER BLVD
DENVER, CO 80211
(39.7602, -105.02)"
HASKIN ELEMENTARY SCHOOL,CENTER,CO,"CENTER CONSOLIDATED SCHOOL DISTRICT NO. 26 JT., OF THE COUNT","$539,797.00 ",Transformation,"550 SOUTH SYLVESTER AVE
CENTER, CO 81125
(37.7512, -106.115)"
RONCALLI MIDDLE SCHOOL,PUEBLO,CO,"PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND","$674,025.00 ",Transformation,"4202 HWY 78
PUEBLO, CO 81005
(38.2328, -104.666)"
CENTRAL HIGH SCHOOL,PUEBLO,CO,"PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND","$852,911.00 ",Transformation,"216 EAST ORMAN AVE
PUEBLO, CO 81004
(38.2536, -104.626)"
MONTBELLO HIGH SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,"$100,778.00 ",Transformation,"5000 CROWN BLVD
DENVER, CO 80239
(39.7854, -104.826)"
LAKE MIDDLE SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,"$619,609.00 ",Restart,"1820 LOWELL BLVD
DENVER, CO 80204
(39.7464, -105.035)"
HANSON ELEMENTARY SCHOOL,COMMERCE CITY,CO,SCHOOL DISTRICT N. 14 IN THE COUNTY OF ADAMS & STATE OF COLO,"$641,451.00 ",Transformation,"7133 EAST 73RD AVE
COMMERCE CITY, CO 80022
(39.8291, -104.905)"
LEMUEL PITTS MIDDLE SCHOOL,PUEBLO,CO,"PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND","$622,865.00 ",Turnaround,"29 LEHIGH AVE
PUEBLO, CO 81005
(38.241, -104.658)"
CLIFTON ELEMENTARY SCHOOL,CLIFTON,CO,MESA COUNTY VALLEY SCHOOL DISTRICT NO. 51,"$821,295.00 ",Transformation,"3276 F RD
CLIFTON, CO 81520
(39.0918, -108.447)"
RISHEL MIDDLE SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,"$13,729.00 ",Closure,"451 SOUTH TEJON ST
DENVER, CO 80223
(39.7084, -105.012)"
GREENLEE K-8 SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,"$671,148.00 ",Turnaround,"1150 LIPAN ST
DENVER, CO 80204
(39.7344, -105.001)"
FORT LOGAN ELEMENTARY SCHOOL,ENGLEWOOD,CO,SHERIDAN SCHOOL DISTRICT NO. 2,"$728,445.00 ",Turnaround,"3700 SOUTH KNOX COUROUTE
ENGLEWOOD, CO 80150
(39.649, -105.031)"
JAMES H RISLEY MIDDLE SCHOOL,PUEBLO,CO,"PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND","$606,822.00 ",Turnaround,"925 MONUMENT AVE
PUEBLO, CO 81001
(38.276, -104.587)"
SKYLAND COMMUNITY HIGH SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,"$31,935.00 ",Closure,"3240 HUMBOLDT ST
DENVER, CO 80205
(39.7632, -104.969)"
PHILIPS ELEMENTARY SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,"$32,491.00 ",Closure,"6550 EAST 21ST AVE
DENVER, CO 80207
(39.7486, -104.911)"
GILPIN K-8 SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,"$374,767.00 ",Turnaround,"2949 CALIFORNIA ST
DENVER, CO 80205
(39.7579, -104.977)"
YOUTH & FAMILY ACADEMY CHARTER,PUEBLO,CO,"PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND","$481,016.00 ",Transformation,"1920 VALLEY DR
PUEBLO, CO 81008
(38.311, -104.631)"
FREED MIDDLE SCHOOL,PUEBLO,CO,"PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND","$595,238.00 ",Turnaround,"715 WEST 20TH ST
PUEBLO, CO 81003
(38.2859, -104.617)"
NOEL MIDDLE SCHOOL,DENVER,CO,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,"$825,829.00 ",Transformation,"5290 KITTRIDGE ST
DENVER, CO 80239
(39.7889, -104.802)"
BURNS SCHOOL,HARTFORD,CT,HARTFORD SCHOOL DISTRICT,"$430,568.00 ",Turnaround,"195 PUTNAM ST
HARTFORD, CT 6106
(41.7612, -72.6912)"
BARNUM SCHOOL,BRIDGEPORT,CT,BRIDGEPORT SCHOOL DISTRICT,"$500,000.00 ",Transformation,"529 NOBLE AVE
BRIDGEPORT, CT 6608
(41.1888, -73.1844)"
KATHERINE BRENNAN SCHOOL,NEW HAVEN,CT,NEW HAVEN SCHOOL DISTRICT,"$590,000.00 ",Turnaround,"200 WILMOT RD
NEW HAVEN, CT 6515
(41.3439, -72.958)"
DR. RAMON E. BETANCES SCHOOL,HARTFORD,CT,HARTFORD SCHOOL DISTRICT,"$400,000.00 ",Turnaround,"42 CHARTER OAK AVE
HARTFORD, CT 6106
(41.7594, -72.6723)"
STAMFORD ACADEMY,STAMFORD,CT,STAMFORD ACADEMY,"$400,000.00 ",Transformation,"229 NORTH ST
STAMFORD, CT 6092
(41.0593, -73.5365)"
JAMES HILLHOUSE HIGH SCHOOL,NEW HAVEN,CT,NEW HAVEN SCHOOL DISTRICT,"$700,000.00 ",Transformation,"480 SHERMAN PARKWAY
NEW HAVEN, CT 6511
(41.3217, -72.939)"
MILNER SCHOOL,HARTFORD,CT,HARTFORD SCHOOL DISTRICT,"$430,569.00 ",Turnaround,"104 VINE ST
HARTFORD, CT 6112
(41.7825, -72.6879)"
HARDING HIGH SCHOOL,BRIDGEPORT,CT,BRIDGEPORT SCHOOL DISTRICT,"$800,000.00 ",Restart,"1734 CENTRAL AVE
BRIDGEPORT, CT 6610
(41.1922, -73.1673)"
NATCHAUG SCHOOL,WILLIMANTIC,CT,WINDHAM SCHOOL DISTRICT,"$700,000.00 ",Transformation,"123 JACKSON ST
WILLIMANTIC, CT 6226
(41.7139, -72.2068)"
HILL CENTRAL MUSIC ACADEMY,NEW HAVEN,CT,NEW HAVEN SCHOOL DISTRICT,"$590,000.00 ",Turnaround,"140 DEWITT ST
NEW HAVEN, CT 6519
(41.2955, -72.9355)"
SAND SCHOOL,HARTFORD,CT,HARTFORD SCHOOL DISTRICT,"$400,000.00 ",Turnaround,"1750 MAIN ST
HARTFORD, CT 6120
(41.7786, -72.6762)"
BASSICK HIGH SCHOOL,BRIDGEPORT,CT,BRIDGEPORT SCHOOL DISTRICT,"$700,000.00 ",Transformation,"1181 FAIRFIELD AVE
BRIDGEPORT, CT 6605
(41.1738, -73.2073)"
WILBUR CROSS HIGH SCHOOL,NEW HAVEN,CT,NEW HAVEN SCHOOL DISTRICT,"$700,000.00 ",Transformation,"181 MITCHELL DR
NEW HAVEN, CT 6511
(41.3241, -72.9086)"
SMALLEY ACADEMY,NEW BRITAIN,CT,NEW BRITAIN SCHOOL DISTRICT,"$700,000.00 ",Transformation,"175 WEST ST
NEW BRITAIN, CT 6051
(41.6765, -72.7712)"
ANACOSTIA SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"$517,340.00 ",Restart,"1601 16TH ST SE
DISTRICT OF COLUMBIA, DC 20020
(38.8707, -76.9823)"
BROWNE EC,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"$445,400.00 ",Transformation,"850 26TH ST NE
DISTRICT OF COLUMBIA, DC 20002
(38.9019, -76.9702)"
DUNBAR SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"$517,340.00 ",Restart,"1301 NEW JERSEY AVE NW
DISTRICT OF COLUMBIA, DC 20001
(38.9079, -77.0131)"
HAMILTON CENTER SPEC ED AT HAMILTON SCHOOL,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"$330,050.00 ",Turnaround,"1401 BRENTWOOD RD NE
DISTRICT OF COLUMBIA, DC 20002
(38.9097, -76.9958)"
SPINGARN SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"$619,950.00 ",Transformation,"2500 BENNING RD NE
DISTRICT OF COLUMBIA, DC 20002
(38.898, -76.9712)"
EASTERN SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"$189,350.00 ",Turnaround,"1700 EAST CAPITOL ST NE
DISTRICT OF COLUMBIA, DC 20003
(38.8898, -76.9807)"
LUKE C. MOORE ACADEMY SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"$552,658.00 ",Turnaround,"1001 MONROE ST NE
DISTRICT OF COLUMBIA, DC 20017
(38.9322, -76.9922)"
PROSPECT LC,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"$180,700.00 ",Transformation,"920 F ST NE
DISTRICT OF COLUMBIA, DC 20002
(38.8976, -76.9932)"
OPTIONS PCS,DISTRICT OF COLUMBIA,DC,OPTIONS PCS,"$541,226.00 ",Turnaround,"1375 EAST ST NE
DISTRICT OF COLUMBIA, DC 20002
(38.8959, -76.9866)"
KENILWORTH ES,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"$305,325.00 ",Restart,"1300 44TH ST NE
DISTRICT OF COLUMBIA, DC 20019
(38.9072, -76.9403)"
SEAFORD SENIOR HIGH SCHOOL,SEAFORD,DE,SEAFORD SCHOOL DISTRICT,"$630,295.00 ",Transformation,"399 NORTH MARKET ST
SEAFORD, DE 19973
(38.6527, -75.6149)"
MOUNT PLEASANT HIGH SCHOOL,WILMINGTON,DE,BRANDYWINE SCHOOL DISTRICT,"$672,921.00 ",Transformation,"5201 WASHINGTON ST EXTENSI
WILMINGTON, DE 19809
(39.7724, -75.5041)"
LITTLE RIVER ELEMENTARY SCHOOL,MIAMI,FL,DADE,"$394,739.00 ",Transformation,"514 NW 77TH ST
MIAMI, FL 33150
(25.8445, -80.2055)"
HARDEE SENIOR HIGH SCHOOL,WAUCHULA,FL,HARDEE,"$733,198.00 ",Transformation,"830 ALTMAN RD
WAUCHULA, FL 33873
(27.5277, -81.8359)"
MIAMI SOUTHRIDGE SENIOR HIGH,MIAMI,FL,DADE,"$115,447.00 ",Turnaround,"19355 SW 114TH AVE
MIAMI, FL 33157
(25.5862, -80.3751)"
POINCIANA HIGH SCHOOL,KISSIMMEE,FL,OSCEOLA,"$660,025.00 ",Transformation,"2300 SOUTH POINCIANA BLVD
KISSIMMEE, FL 34758
(28.2315, -81.4873)"
EAST GADSDEN HIGH SCHOOL,HAVANA,FL,GADSDEN,"$737,977.00 ",Transformation,"27001 BLUE STAR HWY
HAVANA, FL 32333
(30.55, -84.4882)"
COLUMBIA HIGH SCHOOL,LAKE CITY,FL,COLUMBIA,"$759,293.00 ",Transformation,"469 SE FIGHTING TIGER DR
LAKE CITY, FL 32025
(30.1474, -82.6363)"
MIAMI JACKSON SENIOR HIGH SCHOOL,MIAMI,FL,DADE,"$816,787.00 ",Transformation,"1751 NW 36TH ST
MIAMI, FL 33142
(25.8104, -80.2251)"
MEMORIAL MIDDLE SCHOOL,ORLANDO,FL,ORANGE,"$652,558.00 ",Transformation,"2220 WEST 29TH ST
ORLANDO, FL 32805
(28.5113, -81.4073)"
LARKDALE ELEMENTARY SCHOOL,FORT LAUDERDALE,FL,BROWARD,"$713,746.00 ",Transformation,"3250 NW 12TH PLACE
FORT LAUDERDALE, FL 33311
(26.1407, -80.1897)"
EDWARD H. WHITE HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,"$759,293.00 ",Transformation,"1700 OLD MIDDLEBURG RD NORTH
JACKSONVILLE, FL 32210
(30.2901, -81.7659)"
ST. JOHNS TECHNICAL HIGH SCHOOL,ST AUGUSTINE,FL,ST. JOHNS,"$728,868.00 ",Transformation,"2980 COLLINS AVE
ST AUGUSTINE, FL 32084
(29.9217, -81.3467)"
HOMESTEAD SENIOR HIGH SCHOOL,HOMESTEAD,FL,DADE,"$845,263.00 ",Transformation,"2351 SE 12TH AVE
HOMESTEAD, FL 33034
(25.4507, -80.4589)"
LEESBURG HIGH SCHOOL,LEESBURG,FL,LAKE,"$734,298.00 ",Transformation,"1401 YELLOW JACKET WAY
LEESBURG, FL 34748
(28.774, -81.8762)"
CHARLES W. DUVAL ELEMENTARY SCHOOL,GAINESVILLE,FL,ALACHUA,"$759,293.00 ",Transformation,"2106 NE 8TH AVE
GAINESVILLE, FL 32641
(29.6593, -82.2974)"
SMART POPE LIVINGSTON ELEMENTARY,JACKSONVILLE,FL,DUVAL,"$500,000.00 ",Transformation,"1128 BARBER ST
JACKSONVILLE, FL 32209
(30.3393, -81.6886)"
DIXIE M. HOLLINS HIGH SCHOOL,ST PETERSBURG,FL,PINELLAS,"$500,000.00 ",Transformation,"4940 62ND ST NORTH
ST PETERSBURG, FL 33709
(27.8157, -82.7225)"
DR. HENRY W. MACK/WEST LITTLE RIVER ELEMENTARY SCH,MIAMI,FL,DADE,"$258,108.00 ",Transformation,"2450 NW 84TH ST
MIAMI, FL 33147
(25.8503, -80.2378)"
CENTRAL HIGH SCHOOL,BROOKSVILLE,FL,HERNANDO,"$737,052.00 ",Transformation,"14075 KEN AUSTIN PKWY
BROOKSVILLE, FL 34613
(28.5647, -82.4956)"
NORTH SHORE K-8,JACKSONVILLE,FL,DUVAL,"$711,587.00 ",Turnaround,"5701 SILVER PLACEAZA
JACKSONVILLE, FL 32208
(30.3747, -81.6536)"
GLADES CENTRAL HIGH SCHOOL,BELLE GLADE,FL,PALM BEACH,"$666,136.00 ",Transformation,"1001 SW AVE M
BELLE GLADE, FL 33430
(26.6677, -80.6855)"
NORTH MIAMI SENIOR HIGH SCHOOL,NORTH MIAMI,FL,DADE,"$108,015.00 ",Transformation,"800 NE 137TH ST
NORTH MIAMI, FL 33161
(25.9006, -80.1828)"
GATEWAY HIGH SCHOOL,KISSIMMEE,FL,OSCEOLA,"$660,025.00 ",Transformation,"93 PANTHER PAWS TRAIL
KISSIMMEE, FL 34744
(28.293, -81.3593)"
EDEN PARK ELEMENTARY SCHOOL,IMMOKALEE,FL,COLLIER,"$617,334.00 ",Transformation,"3650 WESTCLOX ST
IMMOKALEE, FL 34142
(26.4401, -81.4581)"
WEST GADSDEN HIGH SCHOOL,GREENSBORO,FL,GADSDEN,"$737,977.00 ",Transformation,"200 PROVIDENCE RD
GREENSBORO, FL 32330
(30.5482, -84.6803)"
MIAMI EDISON SENIOR HIGH SCHOOL,MIAMI,FL,DADE,"$618,351.00 ",Turnaround,"6161 NW 5TH COUROUTE
MIAMI, FL 33127
(25.8322, -80.2054)"
MADISON COUNTY HIGH SCHOOL,MADISON,FL,MADISON,"$515,138.00 ",Transformation,"2649 WEST US HWY 90
MADISON, FL 32340
(30.4796, -83.4461)"
SUNLAND PARK ELEMENTARY SCHOOL,FORT LAUDERDALE,FL,BROWARD,"$713,746.00 ",Transformation,"919 NW 13TH TERRACE
FORT LAUDERDALE, FL 33311
(26.1358, -80.1596)"
NATHAN B. FORREST HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,"$759,293.00 ",Transformation,"5530 FIRESTONE RD
JACKSONVILLE, FL 32244
(30.2469, -81.7645)"
OSCAR J. POPE ELEMENTARY SCHOOL,LAKELAND,FL,POLK,"$736,088.00 ",Transformation,"2730 MAINE AVE
LAKELAND, FL 33801
(28.0114, -81.905)"
NORTH MIAMI MIDDLE SCHOOL,NORTH MIAMI,FL,DADE,"$440,823.00 ",Transformation,"700 NE 137TH ST
NORTH MIAMI, FL 33161
(25.9012, -80.1849)"
JEFFERSON COUNTY MIDDLE/HIGH SCHOOL,MONTICELLO,FL,JEFFERSON,"$647,552.00 ",Transformation,"50 DAVID RD
MONTICELLO, FL 32344
(30.5416, -83.8728)"
LONG BRANCH ELEMENTARY SCHOOL,JACKSONVILLE,FL,DUVAL,"$500,000.00 ",Turnaround,"3723 FRANKLIN ST
JACKSONVILLE, FL 32206
(30.3613, -81.6392)"
BOCA CIEGA HIGH SCHOOL,GULFPORT,FL,PINELLAS,"$500,000.00 ",Transformation,"924 58TH ST SOUTH
GULFPORT, FL 33707
(27.7609, -82.71)"
PINE VILLA ELEMENTARY SCHOOL,MIAMI,FL,DADE,"$267,620.00 ",Transformation,"21799 SW 117TH COUROUTE
MIAMI, FL 33170
(25.5644, -80.3814)"
HERNANDO HIGH SCHOOL,BROOKSVILLE,FL,HERNANDO,"$737,052.00 ",Transformation,"700 BELL AVE
BROOKSVILLE, FL 34601
(28.5628, -82.383)"
ANDREW JACKSON HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,"$636,816.00 ",Turnaround,"3816 NORTH MAIN ST
JACKSONVILLE, FL 32206
(30.3619, -81.6535)"
LAKE WORTH HIGH SCHOOL,LAKE WORTH,FL,PALM BEACH,"$10,496.00 ",Transformation,"1701 LAKE WORTH RD
LAKE WORTH, FL 33460
(26.6146, -80.0666)"
HOLMES ELEMENTARY SCHOOL,MIAMI,FL,DADE,"$276,644.00 ",Transformation,"1175 NW 67 ST
MIAMI, FL 33150
(25.8358, -80.2163)"
HAMILTON COUNTY HIGH SCHOOL,JASPER,FL,HAMILTON,"$698,427.00 ",Transformation,"5683 US HWY 129 SOUTH
JASPER, FL 32052
(30.4755, -82.9301)"
OAK RIDGE HIGH SCHOOL,ORLANDO,FL,ORANGE,"$652,965.00 ",Transformation,"6000 SOUTH WINEGARD RD
ORLANDO, FL 32809
(28.4702, -81.386)"
MIAMI NORTHWESTERN SENIOR HIGH,MIAMI,FL,DADE,"$796,553.00 ",Turnaround,"1100 NW 71ST ST
MIAMI, FL 33150
(25.8394, -80.215)"
IMMOKALEE HIGH SCHOOL,IMMOKALEE,FL,COLLIER,"$567,148.00 ",Transformation,"701 WEST IMMOKALEE DR
IMMOKALEE, FL 34142
(26.4244, -81.4236)"
WARRINGTON MIDDLE SCHOOL,PENSACOLA,FL,ESCAMBIA,"$759,293.00 ",Turnaround,"450 SOUTH OLD CORRY FIELD RD
PENSACOLA, FL 32507
(30.4025, -87.274)"
MIAMI CENTRAL SENIOR HIGH SCHOOL,MIAMI,FL,DADE,"$784,700.00 ",Turnaround,"1781 NW 95TH ST
MIAMI, FL 33147
(25.8612, -80.2275)"
WILLISTON HIGH SCHOOL,WILLISTON,FL,LEVY,"$651,787.00 ",Transformation,"427 WEST NOBLE AVE
WILLISTON, FL 32696
(29.3865, -82.4525)"
MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,GAINESVILLE,FL,ALACHUA,"$627,776.00 ",Transformation,"3500 NE 15TH ST
GAINESVILLE, FL 32609
(29.6848, -82.3058)"
WILLIAM M. RAINES HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,"$676,989.00 ",Turnaround,"3663 RAINES AVE
JACKSONVILLE, FL 32209
(30.3812, -81.7111)"
LAKEWOOD HIGH SCHOOL,ST PETERSBURG,FL,PINELLAS,"$500,000.00 ",Transformation,"1400 54TH AVE SOUTH
ST PETERSBURG, FL 33705
(27.7176, -82.6525)"
MIAMI EDISON MIDDLE SCHOOL,MIAMI,FL,DADE,"$407,497.00 ",Turnaround,"6101 NW 2ND AVE
MIAMI, FL 33127
(25.8317, -80.1998)"
MIDDLETON HIGH SCHOOL,TAMPA,FL,HILLSBOROUGH,"$759,293.00 ",Transformation,"4801 NORTH 22ND ST
TAMPA, FL 33610
(27.9888, -82.4347)"
JEAN RIBAULT HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,"$713,451.00 ",Turnaround,"3701 WINTON DR
JACKSONVILLE, FL 32208
(30.3895, -81.707)"
RIDGEWOOD HIGH SCHOOL,NEW PORT RICHEY,FL,PASCO,"$759,293.00 ",Transformation,"7650 ORCHID LAKE RD
NEW PORT RICHEY, FL 34653
(28.2733, -82.6886)"
NORTH COUNTY ELEMENTARY SCHOOL,MIAMI GARDENS,FL,DADE,"$251,911.00 ",Turnaround,"3250 NW 207TH ST
MIAMI GARDENS, FL 33056
(25.9634, -80.2551)"
CLEWISTON HIGH SCHOOL,CLEWISTON,FL,HENDRY,"$759,293.00 ",Transformation,"1501 SOUTH FRANCISCO ST
CLEWISTON, FL 33440
(26.741, -80.9224)"
BOOKER T. WASHINGTON SENIOR HIGH,MIAMI,FL,DADE,"$644,329.00 ",Turnaround,"1200 NW 6TH AVE
MIAMI, FL 33136
(25.7865, -80.2048)"
CELEBRATION HIGH SCHOOL,CELEBRATION,FL,OSCEOLA,"$660,025.00 ",Transformation,"1807 CELEBRATION BLVD
CELEBRATION, FL 34747
(28.304, -81.5639)"
FREDERICK R. DOUGLASS ELEMENTARY,MIAMI,FL,DADE,"$344,819.00 ",Turnaround,"314 NW 12TH ST
MIAMI, FL 33136
(25.7854, -80.2007)"
CENTRAL HAMILTON ELEMENTARY SCHOOL,JASPER,FL,HAMILTON,"$518,789.00 ",Transformation,"553 CHAN BRIDGE DR
JASPER, FL 32052
(30.5282, -82.9598)"
EVANS HIGH SCHOOL,ORLANDO,FL,ORANGE,"$652,792.00 ",Transformation,"4949 SILVER STAR RD
ORLANDO, FL 32808
(28.5808, -81.4494)"
MIAMI NORLAND SENIOR HIGH SCHOOL,MIAMI,FL,DADE,"$742,472.00 ",Turnaround,"1050 NW 195TH ST
MIAMI, FL 33169
(25.953, -80.2193)"
COCONUT CREEK HIGH SCHOOL,COCONUT CREEK,FL,BROWARD,"$713,746.00 ",Transformation,"1400 NW 44TH AVE
COCONUT CREEK, FL 33066
(26.2455, -80.1821)"
A. PHILIP RANDOLPH ACADEMIES,JACKSONVILLE,FL,DUVAL,"$697,645.00 ",Transformation,"1157 GOLFAIR BLVD
JACKSONVILLE, FL 32209
(30.3665, -81.6726)"
MIAMI CAROL CITY SENIOR HIGH,OPA-LOCKA,FL,DADE,"$997,322.00 ",Transformation,"3422 NW 187TH ST
OPA-LOCKA, FL 33056
(25.9426, -80.2571)"
AMOS P. GODBY HIGH SCHOOL,TALLAHASSEE,FL,LEON,"$628,602.00 ",Transformation,"1717 WEST THARPE ST
TALLAHASSEE, FL 32303
(30.4636, -84.3146)"
HAWTHORNE MIDDLE/HIGH SCHOOL,HAWTHORNE,FL,ALACHUA,"$635,832.00 ",Transformation,"21403 SE 69TH AVE
HAWTHORNE, FL 32640
(29.5905, -82.0974)"
NORTHWESTERN MIDDLE SCHOOL,JACKSONVILLE,FL,DUVAL,"$500,000.00 ",Transformation,"2100 WEST 45TH ST
JACKSONVILLE, FL 32209
(30.3716, -81.6954)"
GIBBS HIGH SCHOOL,ST PETERSBURG,FL,PINELLAS,"$500,000.00 ",Transformation,"850 34TH ST SOUTH
ST PETERSBURG, FL 33711
(27.7616, -82.6783)"
CHARLES R. DREW MIDDLE SCHOOL,MIAMI,FL,DADE,"$369,914.00 ",Turnaround,"1801 NW 60TH ST
MIAMI, FL 33142
(25.8298, -80.2289)"
FRANKLIN MIDDLE MAGNET SCHOOL,TAMPA,FL,HILLSBOROUGH,"$759,293.00 ",Transformation,"3915 EAST 21ST AVE
TAMPA, FL 33605
(27.9695, -82.4162)"
PAXON MIDDLE SCHOOL,JACKSONVILLE,FL,DUVAL,"$633,527.00 ",Turnaround,"3276 NORMAN EAST THAGARD BLVD
JACKSONVILLE, FL 32254
(30.342, -81.726)"
ROSENWALD ELEMENTARY SCHOOL,SOUTH BAY,FL,PALM BEACH,"$506,738.00 ",Transformation,"1321 WEST DR MARTIN LUTHER KIN
SOUTH BAY, FL 33493
(26.6641, -80.7241)"
BURKE COUNTY HIGH SCHOOL,WAYNESBORO,GA,BURKE COUNTY,"$115,158.00 ",Transformation,"1057 BURKE VETERANS PKWY
WAYNESBORO, GA 30830
(33.0766, -81.9905)"
WILLIAM S. HUTCHINGS CAREER CENTER,MACON,GA,BIBB COUNTY,"$955,121.00 ",Transformation,"2004 RIVERSIDE DR
MACON, GA 31204
(32.8562, -83.6453)"
LANEY HIGH SCHOOL,AUGUSTA,GA,RICHMOND COUNTY,"$115,976.00 ",Turnaround,"1339 LNY WALKER BLVD
AUGUSTA, GA 30901
(33.4669, -81.9825)"
CRIM HIGH SCHOOL,ATLANTA,GA,ATLANTA PUBLIC SCHOOLS,"$11,667.00 ",Transformation,"256 CLIFTON ST SE
ATLANTA, GA 30317
(33.7456, -84.3308)"
PEACH COUNTY HIGH SCHOOL,FORT VALLEY,GA,PEACH COUNTY,"$185,136.00 ",Transformation,"900 CAMPUS DR
FORT VALLEY, GA 31030
(32.5675, -83.9055)"
GRIFFIN HIGH SCHOOL,GRIFFIN,GA,SPALDING COUNTY,"$144,427.00 ",Transformation,"1617 WEST POPLACEAR ST
GRIFFIN, GA 30224
(33.2441, -84.2919)"
DADE COUNTY HIGH SCHOOL,TRENTON,GA,DADE COUNTY,"$942,738.00 ",Transformation,"300 TRADITION LN
TRENTON, GA 30752
(34.8607, -85.5079)"
GLENN HILLS HIGH SCHOOL,AUGUSTA,GA,RICHMOND COUNTY,"$107,896.00 ",Transformation,"2840 GLENN HILLS DR
AUGUSTA, GA 30906
(33.4291, -82.0625)"
DOUGLASS HIGH SCHOOL,ATLANTA,GA,ATLANTA PUBLIC SCHOOLS,"$788,579.00 ",Transformation,"225 HAMILTON EAST HOLMES DR
ATLANTA, GA 30318
(33.7608, -84.4696)"
JORDAN VOCATIONAL HIGH SCHOOL,COLUMBUS,GA,MUSCOGEE COUNTY,"$146,453.00 ",Transformation,"3200 HOWARD AVE
COLUMBUS, GA 31904
(32.4936, -84.9716)"
DOOLY COUNTY HIGH SCHOOL,VIENNA,GA,DOOLY COUNTY,"$139,306.00 ",Transformation,"712 NORTH 3RD ST
VIENNA, GA 31092
(32.1018, -83.7986)"
BEACH HIGH SCHOOL,SAVANNAH,GA,CHATHAM COUNTY,"$122,676.00 ",Turnaround,"3001 HOPKINS ST
SAVANNAH, GA 31405
(32.0536, -81.1177)"
RIDGELAND HIGH SCHOOL,ROSSVILLE,GA,WALKER COUNTY,"$147,015.00 ",Transformation,"2478 HAPPY VALLEY RD
ROSSVILLE, GA 30741
(34.949, -85.3125)"
SOUTHWEST HIGH SCHOOL,MACON,GA,BIBB COUNTY,"$119,812.00 ",Transformation,"1730 CANTERBURY RD
MACON, GA 31206
(32.8092, -83.6751)"
JOSEY HIGH SCHOOL,AUGUSTA,GA,RICHMOND COUNTY,"$102,187.00 ",Transformation,"1701 15TH ST
AUGUSTA, GA 30901
(33.4555, -81.9988)"
GEORGIA SCHOOL FOR THE DEAF,CAVE SPRING,GA,STATE SCHOOLS,"$101,486.00 ",Transformation,"232 PERRY FARM RD SW
CAVE SPRING, GA 30124
(34.1001, -85.3458)"
SPENCER HIGH SCHOOL,COLUMBUS,GA,MUSCOGEE COUNTY,"$164,154.00 ",Transformation,"4340 VICTORY DR
COLUMBUS, GA 31903
(32.4062, -84.9376)"
MCNAIR HIGH SCHOOL,ATLANTA,GA,DEKALB COUNTY,"$868,746.00 ",Transformation,"1804 BOULDERCREST RD SE
ATLANTA, GA 30316
(33.7043, -84.3248)"
